# ORCID IDs of authors from papers cited in 2025 publications (OpenAlex ID: A5052404353)
# Total unique authors with ORCID: 1684
# Format: ORCID_ID | OpenAlex_ID | Display_Name

0000-0001-8241-2858 | A5011809404 | Yves Balkanski
0000-0001-8248-2768 | A5043561237 | Michael Finus
0000-0001-8254-9133 | A5014360391 | Marie Buhl
0000-0001-8259-2262 | A5066823277 | Lincoln Muniz Alves
0000-0001-8280-910X | A5054764789 | Miguel Poblete-Cazenave
0000-0001-8292-7464 | A5056310612 | Jinlin Zha
0000-0001-8292-8360 | A5033439605 | Louis François
0000-0001-8292-8758 | A5046637996 | Max Callaghan
0000-0001-8303-6700 | A5063323899 | Reto Knutti
0000-0001-8313-9910 | A5046389028 | Maruf Sanni
0000-0001-8326-4551 | A5100427280 | Bin Chen
0000-0001-8342-2820 | A5053011685 | Ali Shareef
0000-0001-8344-3445 | A5090656265 | Bo Zheng
0000-0001-8365-3709 | A5073182517 | Alasdair Hunter
0000-0001-8365-8884 | A5021267520 | Rana Elnaklah
0000-0001-8369-9854 | A5014723755 | Mahnaz Rabbaniha
0000-0001-8378-0249 | A5034108837 | Jacek Kapica
0000-0001-8381-5288 | A5084968029 | Amaia Albizua
0000-0001-8394-2391 | A5047584873 | Weijian Chen
0000-0001-8403-1282 | A5076507299 | Sophia Tsoka
0000-0001-8404-346X | A5036495659 | Marat Khairoutdinov
0000-0001-8412-274X | A5013365392 | Songsong Liu
0000-0001-8415-3263 | A5052671847 | Shoji Hirahara
0000-0001-8428-8707 | A5064781473 | Anthony Patt
0000-0001-8439-4016 | A5001926460 | Eric Hittinger
0000-0001-8449-8392 | A5066990436 | Abigail J. Lynch
0000-0001-8466-475X | A5101991039 | Qin Wang
0000-0001-8467-5010 | A5075791229 | Canh Phuc Nguyen
0000-0001-8471-848X | A5033036905 | Carl‐Friedrich Schleussner
0000-0001-8477-0691 | A5017982392 | Kira Matus
0000-0001-8477-4190 | A5025056986 | Joshua Mullenite
0000-0001-8479-5944 | A5012992454 | Xian Peng
0000-0001-8480-4900 | A5002249055 | Peter Regner
0000-0001-8484-3758 | A5086011020 | Max Henrion
0000-0001-8492-219X | A5080139791 | Francesco Bosello
0000-0001-8504-1212 | A5049680668 | Suerie Moon
0000-0001-8514-4748 | A5089632664 | James Rising
0000-0001-8520-0359 | A5021301990 | Olivier Vidal
0000-0001-8551-1480 | A5088410444 | Fabian Neumann
0000-0001-8560-4943 | A5070378593 | Philippe Ciais
0000-0001-8568-3071 | A5084890556 | Núria Pérez‐Zanón
0000-0001-8578-7639 | A5058124929 | José A. Marengo
0000-0001-8588-0980 | A5043226244 | Charles Kabiri
0000-0001-8604-0844 | A5058081182 | Peter Caldwell
0000-0001-8630-5574 | A5058135487 | Julien Cattiaux
0000-0001-8650-8419 | A5010814143 | Andrew Sudmant
0000-0001-8684-0534 | A5040173593 | Bri‐Mathias Hodge
0000-0001-8708-0485 | A5014308617 | Jing Meng
0000-0001-8719-4431 | A5100362187 | Shi Chen
0000-0001-8758-9732 | A5015234952 | Nedal T. Nassar
0000-0001-8765-9059 | A5000988653 | Geoffrey J. Blanford
0000-0001-8797-5019 | A5046282498 | Hugh Montgomery
0000-0001-8813-5687 | A5036559162 | Doug Ramsay
0000-0001-8834-9458 | A5018038426 | Paul Gasper
0000-0001-8846-7147 | A5075366947 | Robert B. Jackson
0000-0001-8860-8579 | A5100715016 | Zhong Jin
0000-0001-8862-4675 | A5100360233 | Qi Zhang
0000-0001-8862-718X | A5010240307 | Vasilis Dakos
0000-0001-8877-5780 | A5090356763 | Mar Reguant
0000-0001-8884-060X | A5032348723 | John R. Gyakum
0000-0001-8901-6620 | A5026447147 | Eric Lantz
0000-0001-8917-3300 | A5014270925 | Daniel Williamson
0000-0001-8931-1726 | A5031854676 | Risto Hänninen
0000-0001-8954-321X | A5028803551 | Dasaraden Mauree
0000-0001-8967-1756 | A5047815571 | Oleksandr Prokhorov
0000-0001-8978-2480 | A5066235983 | Kairui Feng
0000-0001-8981-5684 | A5037404694 | Kwasi Appeaning Addo
0000-0001-8982-5030 | A5072849265 | Yannan Zhou
0000-0001-8988-2983 | A5038584174 | Johan Rockström
0000-0001-8991-8800 | A5088254823 | Andrew Forbes
0000-0001-8994-5251 | A5077177195 | William C. Clark
0000-0001-9005-8940 | A5048709985 | Bouwe Andela
0000-0001-9006-5745 | A5076705497 | Andrew D. King
0000-0001-9056-5969 | A5041285733 | Mariella Siña
0000-0001-9106-9190 | A5089185496 | Kirsten Halsnæs
0000-0001-9113-7966 | A5013468111 | Zachary H. Thomas
0000-0001-9117-2956 | A5042701524 | David Hole
0000-0001-9135-1583 | A5100629997 | Zhibo Li
0000-0001-9140-0509 | A5041498312 | Laibao Liu
0000-0001-9144-6400 | A5059669581 | Faissal Aziz
0000-0001-9198-150X | A5060598258 | Mathew V. Kiang
0000-0001-9216-8035 | A5047654300 | Lea Berrang‐Ford
0000-0001-9223-037X | A5080977361 | Xin Huang
0000-0001-9233-4996 | A5079779938 | Yueming Qiu
0000-0001-9233-8903 | A5037816255 | Claudia Tebaldi
0000-0001-9238-1020 | A5102972908 | Giacomo Fedele
0000-0001-9245-3768 | A5084053928 | Benjamin P. Horton
0000-0001-9260-7579 | A5024111009 | Jack Brouwer
0000-0001-9275-3605 | A5014983956 | Gerbrand Ceder
0000-0001-9281-5685 | A5016864843 | Daniel L. Sanchez
0000-0001-9288-076X | A5042449090 | Michael S. Moats
0000-0001-9300-4585 | A5077718288 | Hannah Kolus
0000-0001-9306-5142 | A5085314197 | David Carvalho
0000-0001-9307-4196 | A5103263485 | Nicholas Roy
0000-0001-9319-2109 | A5010225282 | David Anthoff
0000-0001-9328-461X | A5085814063 | Margaret Daly
0000-0001-9338-4602 | A5054436321 | Bianca van Bavel
0000-0001-9360-6797 | A5049041935 | Biqing Zhu
0000-0001-9361-3380 | A5101938656 | Sungjoo Lee
0000-0001-9362-2332 | A5003160779 | Filippo Pavanello
0000-0001-9365-5759 | A5081895812 | Karin van der Wiel
0000-0001-9367-5039 | A5049441915 | Jale Tosun
0000-0001-9380-6449 | A5026393639 | Goksin Kavlak
0000-0001-9382-919X | A5001007483 | Gabriel Chan
0000-0001-9397-3271 | A5046150465 | Tilmann Gneiting
0000-0001-9405-1228 | A5047282183 | Jarmo Kikstra
0000-0001-9412-6445 | A5036844278 | Francesco Furini
0000-0001-9433-9205 | A5084159247 | Virginie Buchard
0000-0001-9438-767X | A5017259193 | Jonas Hörsch
0000-0001-9455-4159 | A5087589855 | Jacob Schewe
0000-0001-9473-9057 | A5051024682 | Claire M. Côte
0000-0001-9477-3677 | A5065471333 | Ed Hawkins
0000-0001-9492-4463 | A5058834792 | Matthias Garschagen
0000-0001-9502-2533 | A5101612540 | Myungjin Kim
0000-0001-9509-7332 | A5081947447 | Martha M. Vogel
0000-0001-9528-2917 | A5011579041 | Sonia I. Seneviratne
0000-0001-9531-1239 | A5008072307 | Martin Brandt
0000-0001-9542-5746 | A5027303596 | Mikhail Sofiev
0000-0001-9542-6781 | A5057096521 | Sven Kotlarski
0000-0001-9545-6243 | A5091349192 | Haiwang Zhong
0000-0001-9549-3650 | A5039256214 | Craig E. Colten
0000-0001-9566-3699 | A5080883960 | Florian Lüdeke‐Freund
0000-0001-9576-7877 | A5031199805 | Jakub Jurasz
0000-0001-9579-6889 | A5066720510 | Shilu Tong
0000-0001-9592-1811 | A5041543612 | Genserik Reniers
0000-0001-9597-5051 | A5006291360 | Dattakiran Jagu
0000-0001-9599-4519 | A5077734625 | Sanya Carley
0000-0001-9601-6442 | A5033739527 | Katsumasa Tanaka
0000-0001-9633-2752 | A5101950944 | Veronika Huber
0000-0001-9647-2878 | A5000711533 | Behnam Zakeri
0000-0001-9649-7995 | A5077857462 | Maarten van den Berg
0000-0001-9651-8821 | A5089829615 | Mikhail Smilovic
0000-0001-9664-7594 | A5038464878 | Daniella Hirschfeld
0000-0001-9672-6364 | A5047647448 | Kôichi Sakaguchi
0000-0001-9686-4337 | A5004349552 | Congbin Fu
0000-0001-9686-875X | A5024746548 | Minh Nguyen
0000-0001-9697-9388 | A5079813490 | Benjamin F. Jones
0000-0001-9702-7266 | A5061016748 | Julien Lefèvre
0000-0001-9712-5456 | A5033517683 | Dongsheng Zheng
0000-0001-9720-1076 | A5089526272 | Lutz Breuer
0000-0001-9725-248X | A5025236587 | Matthew J. Menne
0000-0001-9727-1963 | A5100406427 | Shuxiao Wang
0000-0001-9751-120X | A5055279812 | Alcade C. Segnon
0000-0001-9795-7981 | A5086946420 | Niels Drost
0000-0001-9801-3288 | A5071536101 | Julianne DeAngelo
0000-0001-9829-7030 | A5083379702 | Konstantinos Chalvatzis
0000-0001-9843-8905 | A5047895832 | Erin Mayfield
0000-0001-9857-9900 | A5056353409 | Jochem Marotzke
0000-0001-9868-3919 | A5075103225 | Shiyang Liu
0000-0001-9878-8243 | A5004994890 | Shirley Lu
0000-0001-9883-9610 | A5052147696 | Ricardo Todling
0000-0001-9895-1493 | A5022096850 | Ana‐Catarina Pinho‐Gomes
0000-0001-9904-1619 | A5010835660 | Sebastian Bathiany
0000-0001-9908-220X | A5058440934 | Isabela Butnar
0000-0001-9911-4160 | A5017413796 | Marianne T. Lund
